grouping,sort,section,units,grade,level_achieved,year,value
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2011,26.9
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2012,27.6
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2013,25.8
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2014,27.9
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2015,28.2
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2016,28.8
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2017,29.1
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2018,28.4
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2019,29.9
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2020,29.1
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2021,28.3
Economically Disadvantaged,MISC1,Students,percent_of_students,All,NA,2022,32.5
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,1995,NA
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,1996,NA
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,1997,NA
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,1998,NA
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,1999,NA
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2000,NA
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2001,NA
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2002,NA
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2003,NA
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2004,NA
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2005,3
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2006,3
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2007,3
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2008,3
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2009,4
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2010,4
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2011,3
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2012,3
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2013,2.9
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2014,3.2
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2015,3.4
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2016,3.7
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2017,3.9
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2018,3.7
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2019,4
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2020,3.7
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2021,3.5
English Language Learners (ELL),MISC2,Students,percent_of_students,All,NA,2022,3.9
Special Education,MISC3,Students,percent_of_students,All,NA,1995,13
Special Education,MISC3,Students,percent_of_students,All,NA,1996,14
Special Education,MISC3,Students,percent_of_students,All,NA,1997,14
Special Education,MISC3,Students,percent_of_students,All,NA,1998,14
Special Education,MISC3,Students,percent_of_students,All,NA,1999,14
Special Education,MISC3,Students,percent_of_students,All,NA,2000,13
Special Education,MISC3,Students,percent_of_students,All,NA,2001,12
Special Education,MISC3,Students,percent_of_students,All,NA,2002,12
Special Education,MISC3,Students,percent_of_students,All,NA,2003,12
Special Education,MISC3,Students,percent_of_students,All,NA,2004,12
Special Education,MISC3,Students,percent_of_students,All,NA,2005,12
Special Education,MISC3,Students,percent_of_students,All,NA,2006,12
Special Education,MISC3,Students,percent_of_students,All,NA,2007,12
Special Education,MISC3,Students,percent_of_students,All,NA,2008,10
Special Education,MISC3,Students,percent_of_students,All,NA,2009,10
Special Education,MISC3,Students,percent_of_students,All,NA,2010,9
Special Education,MISC3,Students,percent_of_students,All,NA,2011,9
Special Education,MISC3,Students,percent_of_students,All,NA,2012,9
Special Education,MISC3,Students,percent_of_students,All,NA,2013,8.8
Special Education,MISC3,Students,percent_of_students,All,NA,2014,8.3
Special Education,MISC3,Students,percent_of_students,All,NA,2015,8.2
Special Education,MISC3,Students,percent_of_students,All,NA,2016,8
Special Education,MISC3,Students,percent_of_students,All,NA,2017,8.4
Special Education,MISC3,Students,percent_of_students,All,NA,2018,9.3
Special Education,MISC3,Students,percent_of_students,All,NA,2019,10.2
Special Education,MISC3,Students,percent_of_students,All,NA,2020,11.5
Special Education,MISC3,Students,percent_of_students,All,NA,2021,12.9
Special Education,MISC3,Students,percent_of_students,All,NA,2022,13.8
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,1995,2
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,1996,2
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,1997,2
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,1998,2
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,1999,2
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2000,2
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2001,2
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2002,2
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2003,2
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2004,2
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2005,2
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2006,2
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2007,3
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2008,3
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2009,3
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2010,3
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2011,3
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2012,4
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2013,4
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2014,4.4
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2015,4.6
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2016,5
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2017,5.1
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2018,4.7
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2019,5
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2020,4.6
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2021,4.2
Bilingual-ESL Education,MISC4,Students,percent_of_students,All,NA,2022,4.2
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,1995,20
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,1996,12
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,1997,11
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,1998,16
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,1999,12
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2000,14
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2001,13
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2002,15
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2003,20
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2004,24
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2005,24
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2006,22
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2007,22
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2008,24
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2009,26
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2010,25
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2011,17
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2012,19
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2013,29.2
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2014,28
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2015,29.6
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2016,32.3
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2017,26
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2018,27.1
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2019,27.3
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2020,34.5
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2021,0
Career and Technology Ed,MISC5,Students,percent_of_students,All,NA,2022,29
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,1995,9
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,1996,7
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,1997,7
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,1998,6
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,1999,6
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2000,6
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2001,5
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2002,5
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2003,5
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2004,5
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2005,4
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2006,4
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2007,3
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2008,4
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2009,4
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2010,4
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2011,5
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2012,5
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2013,5.2
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2014,5.3
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2015,5.3
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2016,5.3
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2017,5.1
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2018,5.4
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2019,5.6
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2020,5.8
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2021,6.7
Gifted and Talented Ed,MISC6,Students,percent_of_students,All,NA,2022,6.3
Attendance Rate,3,District_Perform,rate,All,NA,1995,94.7
Attendance Rate,3,District_Perform,rate,All,NA,1996,95
Attendance Rate,3,District_Perform,rate,All,NA,1997,95.1
Attendance Rate,3,District_Perform,rate,All,NA,1998,95.2
Attendance Rate,3,District_Perform,rate,All,NA,1999,95.5
Attendance Rate,3,District_Perform,rate,All,NA,2000,95.5
Attendance Rate,3,District_Perform,rate,All,NA,2001,96
Attendance Rate,3,District_Perform,rate,All,NA,2002,95.6
Attendance Rate,3,District_Perform,rate,All,NA,2003,95.9
Attendance Rate,3,District_Perform,rate,All,NA,2004,95.8
Attendance Rate,3,District_Perform,rate,All,NA,2005,96
Attendance Rate,3,District_Perform,rate,All,NA,2006,96.1
Attendance Rate,3,District_Perform,rate,All,NA,2007,96.5
Attendance Rate,3,District_Perform,rate,All,NA,2008,96.3
Attendance Rate,3,District_Perform,rate,All,NA,2009,96.2
Attendance Rate,3,District_Perform,rate,All,NA,2010,96.2
Attendance Rate,3,District_Perform,rate,All,NA,2011,95.9
Attendance Rate,3,District_Perform,rate,All,NA,2012,96
Attendance Rate,3,District_Perform,rate,All,NA,2013,96.2
Attendance Rate,3,District_Perform,rate,All,NA,2014,96
